query_id,database,label,row_latency,col_latency,speedup_ratio,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31
q_0019,Airline,0,1301.0179072618484,3082.641452550888,0.4220464583012907,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,1,0,0,0,0,1,1,0,0,6,0,1,0,0,0
q_0002,Airline,0,75.4605419933796,117.98609644174576,0.639571477226025,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
q_0008,Airline,0,124.4400754570961,175.9547509253025,0.7072277094122013,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
q_0014,Airline,0,384.3106798827648,2846.8929827213287,0.13499301948308728,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,1,0,0,6,0,1,0,0,0
q_0000,Airline,1,40.437570959329605,0.5321435630321503,75.98996543135205,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,1,0,0,0,0,1,1,0,0,4,0,1,0,0,0
q_0013,Airline,0,348.4009958803654,1622.7600820362568,0.21469655295143078,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,1,0,1,11,0,1,0,0,0
q_0015,Airline,0,13.216786086559296,61.641326546669006,0.2144143682007361,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
q_0009,Airline,0,5613.792537897825,9494.78792026639,0.591249913641075,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
q_0016,Airline,0,447.5090727210045,53384.24806967378,0.00838279246973646,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,1,0,0,0,0,1,1,0,1,6,0,1,0,0,0
q_0005,Airline,1,40.44228419661522,0.3700762987136841,109.28093568052054,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,1,0,0,4,0,1,0,0,0
q_0003,Airline,0,423.7150236964226,2867.3240467906,0.14777367914543438,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,1,0,0,0,0,0,1,1,0,1,10,0,1,0,0,0
q_0017,Airline,1,404.47415485978127,0.7022298872470856,575.9853891229548,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,1,0,0,8,0,1,0,0,0
q_0011,Airline,0,407.15378671884537,1474.5406471192837,0.2761224571966028,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,1,0,0,0,0,0,1,1,0,1,8,0,1,0,0,0
q_0001,Airline,0,13.236682116985321,51.88539773225784,0.25511382191363446,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
q_0018,Airline,0,450.56011751294136,2655.9705920517445,0.16964047676630428,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,1,0,1,4,0,1,0,0,0
q_0012,Airline,0,490.45548141002655,3146.6791346669197,0.1558644718511924,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
